Marca temporal,"¿Estás estudiando en algún colegio, universidad o instituto?",Escribe tu edad exacta,Sexo,Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [No discrimino y trato a todos por igual],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta comprar marcas que representen mi status],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me preocupa mucho el medio ambiente],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Estudio mucho, doy mi mayor esfuerzo]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Busco el éxito sin importar lo que deba sacrificar],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Trato de vestir sencillo para no presumir],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Creo que la vida se trata de tomar riesgos],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Busco hacer cosas emocionantes para no aburrirme],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [En mi casa, la familia es muy importante, por eso paso mucho tiempo con ellos]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Tener dinero es clave para ser respetado],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me cuesta mucho lidiar con gente que opina estupideces],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [La tradición y religión ayudan a distinguir lo bueno de lo malo],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [El dinero va y viene, trato de no cuidarlo mucho, más bien lo disfruto]","Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Hay que respetar a los adultos, aunque algunos no sean muy respetuosos]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta comer sano y estar en forma],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Vestirse bien es clave para el éxito ],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Soy sincero con las personas, aunque la verdad les duela]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me preocupo y ayudo a los necesitados],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Invierto mucho tiempo y dinero para aprender cosas nuevas],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta conocer gente y hacer nuevos amigos],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Soy una persona casera, prefiero estar en casa haciendo lo mío]","Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Prefiero hacer las cosas solo, me estresa trabajar en grupo]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta tener muchos amigos y pasar tiempo con ellos],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me cuesta concentrarme porque me aburro rápido de las cosas],Cuando tenga 30 años me gustaría:,¿Cuánto tiempo has pasado en los últimos 7 días en TikTok? Si no lo las usado coloca 00:00,¿Cuánto tiempo has pasado en los últimos 7 días en Instagram? Si no lo las usado coloca 00:00,¿Cuánto tiempo has pasado en los últimos 7 días en Facebook? Si no lo las usado coloca 00:00,¿Cuánto tiempo has pasado en los últimos 7 días en YouTube? Si no lo las usado coloca 00:00
9/08/2021 12:43:08,Sí,22,Mujer,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,Un poco falso,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente falso,Un poco falso,Un poco verdadero,Un poco falso,Un poco falso,Un poco falso,No lo sé,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",2:47:00,4:12:00,3:45:00,3:45:00
9/08/2021 12:43:25,Sí,21,Mujer,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco falso,Un poco verdadero,No lo sé,"Estar soltero, muy enfocado en mis logros personales",3:00:00,2:00:00,1:00:00,2:00:00
9/08/2021 12:49:53,Sí,18,Mujer,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,No lo sé,Un poco falso,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,No lo sé,Totalmente falso,Totalmente verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:00:00,0:10:00,10:00:00,5:00:00
9/08/2021 12:50:19,Sí,18,Hombre,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,No lo sé,Un poco verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,Un poco falso,No lo sé,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",4:00:00,6:00:00,1:00:00,10:00:00
9/08/2021 13:04:04,Sí,15,Hombre,Totalmente verdadero,Totalmente falso,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,No lo sé,Un poco verdadero,Totalmente falso,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Un poco verdadero,Un poco falso,No lo sé,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",0:00:00,6:04:00,7:13:00,11:34:00
9/08/2021 13:06:02,Sí,16,Hombre,Totalmente verdadero,Totalmente falso,Totalmente verdadero,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,No lo sé,Un poco falso,Un poco verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente falso,"Estar soltero, muy enfocado en mis logros personales",0:00:00,0:00:00,1:00:00,9:00:00
9/08/2021 13:10:04,Sí,15,Mujer,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco falso,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,No lo sé,Totalmente verdadero,No lo sé,Totalmente falso,No lo sé,Totalmente verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",1:57:00,2:57:00,1:57:00,1:18:00
9/08/2021 13:12:38,Sí,18,Hombre,Un poco falso,Un poco verdadero,Totalmente falso,Totalmente falso,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco falso,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Un poco falso,Un poco falso,Un poco verdadero,Totalmente falso,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",1:01:00,4:05:00,6:18:00,0:49:00
9/08/2021 13:16:07,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/08/2021 13:20:46,Sí,23,Hombre,Un poco verdadero,Un poco falso,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,No lo sé,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:00:00,5:27:00,23:50:00,8:11:00
9/08/2021 13:54:08,Sí,20,Hombre,Un poco falso,Un poco falso,Un poco falso,Un poco falso,Un poco falso,Un poco falso,Un poco falso,Un poco falso,No lo sé,Un poco falso,Un poco falso,Un poco falso,Un poco falso,Un poco falso,Un poco falso,Un poco falso,No lo sé,Un poco falso,Totalmente falso,Un poco falso,Totalmente falso,Un poco falso,Un poco falso,Un poco falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",1:03:00,0:10:00,2:00:00,0:00:00
9/08/2021 13:54:54,Sí,15,Mujer,Totalmente verdadero,Totalmente falso,Totalmente verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente falso,Totalmente falso,No lo sé,Un poco falso,Un poco verdadero,Totalmente falso,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",3:00:00,3:00:00,12:00:00,0:00:00
9/08/2021 14:06:44,Sí,25,Hombre,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco falso,Un poco falso,Un poco verdadero,Totalmente falso,Totalmente verdadero,Un poco falso,Un poco falso,No lo sé,No lo sé,Totalmente falso,Totalmente verdadero,Un poco verdadero,No lo sé,No lo sé,Totalmente verdadero,No lo sé,Un poco falso,Un poco falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:19:00,4:00:00,1:00:00,3:50:00
9/08/2021 14:08:08,Sí,22,Mujer,Un poco falso,Totalmente falso,No lo sé,Un poco verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco falso,Un poco falso,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco falso,Totalmente verdadero,Totalmente falso,"Estar soltero, muy enfocado en mis logros personales",0:38:00,9:03:00,13:43:00,0:25:00
9/08/2021 14:10:08,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/08/2021 14:32:01,Sí,17,Mujer,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,No lo sé,Totalmente verdadero,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",1:16:00,0:51:00,0:11:00,2:21:00
9/08/2021 16:07:23,Sí,18,Mujer,Un poco verdadero,Un poco falso,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente falso,No lo sé,No lo sé,No lo sé,Un poco verdadero,No lo sé,Un poco falso,Un poco verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",10:44:00,9:08:00,3:41:00,0:29:00
9/08/2021 17:04:20,Sí,19,Mujer,Totalmente verdadero,Totalmente falso,No lo sé,No lo sé,Un poco falso,Un poco verdadero,No lo sé,Un poco falso,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,No lo sé,Un poco falso,Un poco falso,No lo sé,No lo sé,Un poco falso,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",12:00:00,23:00:00,10:00:00,23:50:00
9/08/2021 17:23:00,Sí,19,Mujer,Un poco verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco falso,Un poco verdadero,Un poco falso,Un poco falso,Un poco falso,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",2:20:00,1:00:00,0:00:00,0:00:00
9/08/2021 17:23:35,Sí,18,Mujer,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,No lo sé,No lo sé,Un poco falso,Totalmente verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,No lo sé,Un poco verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",15:35:00,4:39:00,0:15:00,1:23:00
9/08/2021 17:45:16,Sí,18,Mujer,No lo sé,Totalmente falso,No lo sé,No lo sé,Un poco falso,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Un poco falso,Totalmente falso,Un poco falso,Totalmente falso,Un poco falso,No lo sé,No lo sé,No lo sé,Un poco falso,No lo sé,Un poco falso,Un poco falso,No lo sé,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",6:00:00,2:00:00,0:00:00,1:00:00
9/08/2021 17:45:49,Sí,20,Hombre,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Un poco verdadero,No lo sé,Un poco falso,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",14:00:00,1:00:00,1:00:00,8:00:00
9/08/2021 17:59:22,Sí,15,Hombre,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente falso,No lo sé,Un poco falso,Un poco verdadero,Un poco falso,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco falso,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",0:23:00,1:00:00,2:36:00,1:23:00
9/08/2021 18:03:45,Sí,21,Mujer,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Un poco falso,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente falso,Totalmente verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",20:00:00,20:00:00,0:00:00,0:00:00
9/08/2021 18:31:38,Sí,21,Mujer,Un poco verdadero,Un poco falso,No lo sé,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente falso,Un poco verdadero,Un poco falso,Un poco falso,Un poco falso,Un poco falso,Un poco verdadero,Totalmente verdadero,No lo sé,No lo sé,No lo sé,No lo sé,Un poco verdadero,No lo sé,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:00:00,10:30:00,7:00:00,23:59:00
11/08/2021 11:38:11,Sí,20,Mujer,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,No lo sé,Un poco falso,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente falso,Un poco falso,No lo sé,No lo sé,No lo sé,No lo sé,Totalmente verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",2:30:00,0:20:00,0:45:00,1:00:00
11/08/2021 11:38:52,Sí,20,Mujer,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco falso,Un poco falso,Un poco verdadero,Un poco falso,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,Totalmente falso,Un poco verdadero,Totalmente falso,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",3:13:00,1:49:00,2:07:00,1:08:00
11/08/2021 11:39:05,Sí,20,Hombre,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,No lo sé,Totalmente verdadero,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",12:00:00,6:00:00,7:00:00,1:00:00
11/08/2021 11:39:41,Sí,20,Mujer,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,No lo sé,No lo sé,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",13:00:00,2:00:00,4:00:00,4:35:00
